=== Crop Risk Tool - White mold model ===,,,,,,,,,,,,,,
Generated: 2026-04-07 09:35:34.490405,,,,,,,,,,,,,,
Host: connect.doit.wisc.edu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
=== Site list ===,,,,,,,,,,,,,,
id,name,lat,lng,grid_id,grid_lat,grid_lng,time_zone,date_min,date_max,time_min,time_max,days_expected,days_actual,days_missing
1,"Seymour, WI",44.5306,-88.4135,dpcj7vzzrekrc,44.54945055,-88.41798444,America/Chicago,4/1/2025,11/1/2025,4/1/2025 0:20,11/1/2025 23:20,215,215,0
,,,,,,,,,,,,,,
=== Model data ===,,,,,,,,,,,,,,
id,name,lat,lng,date,temperature_min_c,temperature_max_c,relative_humidity_max_percent,wind_speed_max_kmh,temperature_max_30day_c,temperature_min_21day_c,wind_speed_max_30day_kmh,relative_humidity_max_30day_percent,probability,risk
1,"Seymour, WI",44.5306,-88.4135,4/1/2025,-4.6,4,95.6,22.3,7.413333333,-2.271428571,24.13,88.91333333,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/2/2025,-0.1,6.9,100,27.4,7.383333333,-2.204761905,24.48,89.32,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/3/2025,1.4,7.8,91.3,34.2,7.37,-2.019047619,25.14,89.03,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/4/2025,-1.8,9.1,91.8,14.4,7.57,-2.242857143,24.49333333,88.75666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/5/2025,0.9,8.8,85.6,24.5,7.783333333,-2.280952381,24.56666667,88.99,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/6/2025,-3.3,11,73.3,24.1,7.986666667,-2.29047619,24.73333333,88.24666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/7/2025,-4.4,6.4,90,33.1,7.966666667,-2.242857143,25.14,88.40666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/8/2025,-6.9,5.5,70.4,17.3,7.65,-2.685714286,24.91333333,87.78333333,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/9/2025,-0.9,8.7,89.5,16.9,7.313333333,-2.69047619,24.54,87.66,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/10/2025,0.7,8.4,96,15.5,7.333333333,-2.495238095,24.20333333,88.18666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/11/2025,-1.6,14.2,96,11.5,7.52,-2.476190476,23.91333333,88.64666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/12/2025,-1.1,16.4,95.1,18.4,7.57,-2.314285714,23.97333333,88.90666667,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/13/2025,8.8,17.5,77.1,27.4,7.493333333,-1.742857143,23.96333333,89.14,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/14/2025,6.5,13.6,79,40,7.42,-1.238095238,24.20333333,88.79,0,Very low risk
1,"Seymour, WI",44.5306,-88.4135,4/15/2025,1.2,8.5,94.6,34.2,7.576666667,-0.852380952,24.51666667,89.12,0,Very low risk
