date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,5.9,17.1,11.5,70,0.0,21.2,0.4
2025-05-09,1.7,18.6,10.9,82,0.0,10.3,-1.2
2025-05-10,10.1,22.1,16.2,63,0.0,18.0,0.7
2025-05-11,5.7,22.7,14.7,61,0.0,14.9,-1.6
2025-05-12,9.2,27.3,19.4,76,0.0,16.8,4.2
2025-05-13,14.2,26.0,20.8,92,0.2,15.0,12.4
2025-05-14,14.9,27.0,21.5,97,0.3,18.0,14.1
2025-05-15,17.0,30.9,22.6,95,16.9,32.7,7.7
2025-05-16,12.4,24.6,19.1,64,2.6,34.6,4.1
2025-05-17,10.1,16.4,12.8,72,0.0,29.4,4.8
2025-05-18,7.3,19.3,13.4,85,0.0,19.3,4.9
2025-05-19,5.0,15.6,9.8,80,0.0,29.5,1.6
2025-05-20,8.4,13.6,10.3,97,30.9,33.9,4.9
2025-05-21,7.7,11.9,9.4,96,2.8,17.2,6.6
2025-05-22,7.3,14.8,10.7,97,0.5,19.3,2.8
2025-05-23,5.2,17.4,11.6,91,0.0,15.7,2.8
2025-05-24,5.2,18.0,12.7,95,0.0,10.1,4.3
2025-05-25,7.6,20.0,14.6,82,0.0,14.9,3.7
2025-05-26,7.2,19.9,14.6,84,0.0,21.9,4.7
2025-05-27,11.6,19.8,15.6,67,0.0,19.6,4.5
2025-05-28,10.9,18.6,13.9,95,4.1,14.3,7.2
2025-05-29,8.9,19.8,14.6,98,1.1,13.8,8.6
2025-05-30,9.9,25.1,17.7,91,0.0,28.8,7.5
2025-05-31,12.9,22.5,17.4,76,0.0,17.0,6.0
2025-06-01,8.9,23.3,16.7,84,0.0,8.8,5.9
2025-06-02,12.6,27.8,20.5,73,0.0,20.7,6.3
2025-06-03,16.5,25.4,21.5,96,23.9,32.5,13.9
2025-06-04,13.6,23.2,18.1,96,1.9,14.0,10.4
2025-06-05,12.1,24.0,18.6,94,0.0,14.2,9.0
2025-06-06,13.6,23.9,18.8,81,0.0,13.3,9.9
2025-06-07,11.1,24.5,18.5,77,0.0,17.0,7.1
2025-06-08,14.3,22.8,18.3,95,5.2,23.9,7.1
2025-06-09,12.9,19.2,15.8,80,0.2,28.5,6.4
2025-06-10,11.2,24.5,18.1,85,0.0,23.5,8.4
2025-06-11,17.6,31.4,24.1,70,0.0,22.1,10.1
2025-06-12,17.2,29.1,22.7,73,0.1,23.1,10.7
2025-06-13,14.7,27.6,20.5,74,0.1,19.9,8.7
2025-06-14,14.1,28.5,20.9,87,0.0,16.3,11.9
2025-06-15,16.8,26.4,21.1,94,4.4,12.9,15.0
2025-06-16,18.2,27.8,22.6,91,1.4,16.0,15.6
2025-06-17,19.6,29.4,24.0,93,0.2,17.4,17.8
2025-06-18,18.5,24.3,20.4,97,26.9,14.2,17.7
2025-06-19,16.6,26.6,21.9,95,0.0,15.2,14.4
2025-06-20,19.4,27.5,22.8,93,2.9,25.2,14.9
2025-06-21,23.9,33.1,28.2,85,0.0,37.2,21.0
2025-06-22,24.6,32.8,28.7,80,0.0,30.7,20.6
2025-06-23,23.5,31.5,26.8,95,20.2,26.3,17.9
2025-06-24,21.9,27.5,23.9,98,10.7,19.2,21.3
2025-06-25,20.5,28.3,24.4,100,2.3,18.4,20.5
2025-06-26,22.0,30.4,25.5,95,7.1,20.3,20.9
2025-06-27,19.4,24.4,22.3,95,1.1,20.0,17.6
2025-06-28,16.5,28.9,23.1,99,0.0,12.9,16.2
2025-06-29,20.4,29.9,24.8,95,12.1,16.0,19.6
2025-06-30,19.2,28.0,22.8,99,0.1,15.7,17.0
2025-07-01,17.4,27.0,22.2,89,0.0,14.8,15.2
2025-07-02,18.4,28.0,23.3,89,0.1,16.4,15.4
2025-07-03,18.9,29.9,24.6,89,0.1,17.4,16.6
2025-07-04,22.4,30.5,26.1,88,0.0,18.9,19.2
2025-07-05,22.4,29.8,25.2,95,2.6,26.7,19.4
2025-07-06,21.1,27.2,23.9,99,1.1,17.1,19.0
2025-07-07,17.5,26.5,22.1,99,0.6,9.6,16.2
2025-07-08,18.8,26.9,22.8,97,0.9,15.4,18.2
2025-07-09,19.0,27.8,23.7,96,0.0,9.2,17.4
2025-07-10,17.7,27.5,21.8,98,17.4,16.4,16.2
2025-07-11,19.6,26.1,21.9,99,23.1,21.2,18.6
2025-07-12,18.9,26.0,22.1,98,1.1,18.0,16.5
2025-07-13,15.9,25.8,21.1,95,0.0,10.7,15.1
2025-07-14,17.4,27.0,22.5,92,0.0,13.4,16.1
2025-07-15,18.6,28.2,23.9,91,0.0,15.6,17.1
